127.0.0.1 - - [15/Mar/2022:16:18:26 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Mar/2022:16:18:27 -0700] "GET /alstrom-ers-revature/ HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [15/Mar/2022:16:18:28 -0700] "GET /alstrom-ers-revature/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:16:18:28 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Mar/2022:16:18:30 -0700] "GET /alstrom-ers-revature/logIn2.html HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [15/Mar/2022:16:21:38 -0700] "POST /alstrom-ers-revature/LogIn2Controller HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [15/Mar/2022:16:24:59 -0700] "GET /alstrom-ers-revature/DisplayUserDetails.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [15/Mar/2022:16:44:49 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:02:52 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:02:53 -0700] "GET /alstrom-ers-revature/signUp2.html HTTP/1.1" 200 2913
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:03:53 -0700] "GET /alstrom-ers-revature/signUp2.html HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:04:10 -0700] "GET /alstrom-ers-revature/SignUpPageController?username=lucaraa253&password=aaaaaaaa&confirmpassword=aaaaaaaa&firstName=Nick&lastName=Lucara HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:04:52 -0700] "GET /alstrom-ers-revature/logIn2.html HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:05:10 -0700] "POST /alstrom-ers-revature/LogIn2Controller HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:06:37 -0700] "POST /alstrom-ers-revature/LogIn2Controller HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:06:39 -0700] "GET /alstrom-ers-revature/logIn2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:06:46 -0700] "POST /alstrom-ers-revature/LogIn2Controller HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:06:46 -0700] "POST /alstrom-ers-revature/LogIn2Controller HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:06:48 -0700] "GET /alstrom-ers-revature/DisplayUserDetails.jsp HTTP/1.1" 500 3283
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:07:42 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:08:16 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:08:17 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:08:44 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:08:44 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:09:01 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:10:54 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:10:56 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:11:20 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:11:20 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:11:22 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:11:24 -0700] "GET /alstrom-ers-revature/signUp2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:11:51 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:11:52 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:12:00 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 537
